number,difficulty,codeLength,timestamp,elapsed
2580496,216914414,200,1717252820,20.0
2580497,216914414,200,1717252831,11.0
2580498,217126244,200,1717252832,1.0
2580499,217338281,200,1717252833,1.0
2580500,217550525,200,1717252834,1.0
2580501,217762976,200,1717252840,6.0
2580502,217975635,200,1717252843,3.0
2580503,217975635,200,1717252851,8.0
2580504,218188501,200,1717252854,3.0
2580505,218401575,200,1717252855,1.0
2580506,217761729,200,1717252886,31.0
2580507,218187043,200,1717252887,1.0
2580508,217973970,200,1717252901,14.0
2580509,218186835,200,1717252902,1.0
2580510,218399908,200,1717252903,1.0
2580511,218613189,200,1717252905,2.0
2580512,218399700,200,1717252925,20.0
2580513,218399700,200,1717252937,12.0
2580514,218399700,200,1717252945,8.0
2580515,218612980,200,1717252949,4.0
2580516,218399491,200,1717252969,20.0
2580517,218612771,200,1717252970,1.0
2580518,218612771,200,1717252981,11.0
2580519,217758815,200,1717253020,39.0
2580520,217971470,200,1717253021,1.0
2580521,217758608,200,1717253035,14.0
2580522,217333300,200,1717253062,27.0
2580523,217121061,200,1717253080,18.0
2580524,217121061,200,1717253091,11.0
2580525,217333093,200,1717253095,4.0
2580526,217545332,200,1717253099,4.0
2580527,217970224,200,1717253105,6.0
2580528,218183085,200,1717253107,2.0
2580529,217970016,200,1717253121,14.0
2580530,218182877,200,1717253122,1.0
2580531,218395946,200,1717253123,1.0
2580532,218395946,200,1717253133,10.0
2580533,218609223,200,1717253135,2.0
2580534,218609223,200,1717253142,7.0
2580535,218609223,200,1717253151,9.0
2580536,218822708,200,1717253152,1.0
2580537,219036402,200,1717253158,6.0
2580538,219250304,200,1717253161,3.0
2580539,219036193,200,1717253179,18.0
2580540,219036193,200,1717253187,8.0
2580541,219250095,200,1717253189,2.0
2580542,219464206,200,1717253193,4.0
2580543,218821246,200,1717253221,28.0
2580544,219034938,200,1717253223,2.0
2580545,219248839,200,1717253224,1.0
2580546,219034729,200,1717253240,16.0
2580547,219034729,200,1717253252,12.0
2580548,219034729,200,1717253260,8.0
2580549,218606927,200,1717253285,25.0
2580550,218393444,200,1717253301,16.0
2580551,218180170,200,1717253319,18.0
2580552,218393236,200,1717253321,2.0
2580553,218393236,200,1717253328,7.0
2580554,218606510,200,1717253329,1.0
2580555,218819992,200,1717253331,2.0
2580556,218178919,200,1717253359,28.0
2580557,218178919,200,1717253369,10.0
2580558,218391984,200,1717253373,4.0
2580559,218605257,200,1717253378,5.0
2580560,218605257,200,1717253386,8.0
2580561,218605257,200,1717253394,8.0
2580562,217537852,200,1717253436,42.0
2580563,217750291,200,1717253437,1.0
2580564,217962937,200,1717253438,1.0
2580565,218175791,200,1717253440,2.0
